CID,SMILES
16070111,COC(=O)N1CC2(CC2)C[C@@H]([C@H]1C(=O)N3CCN(CC3)C4=CC=CC=C4)C(=O)NO
161532,C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O
23382,C1=CC=C2C(=C1)C=CC=C2C(=O)NO
154000,CC1=C(N=C(O1)C2=CC=CC=C2)CCOC3=CC=C(C=C3)CC4C(=O)NOC4=O
615643,C1=CC(=CC=C1C(=O)NO)I
73386748,C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)NOCCN
9570327,C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)C2=C(C(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])O
603910,C1=CC(=CC=C1C(=O)NO)Br
46836227,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCCCCC(=O)NO
29539,CCOC1=CC=C(C=C1)N(C(=O)C)O
5390108,C1=CC(=CC=C1C(=O)N/N=C\C2=CC=C(O2)[N+](=O)[O-])O
56933411,CC(CC1=C(C=C(C=C1Cl)Cl)Cl)N(C(=O)C2=CN(N=C2C(F)F)C)OC
61205,C1=C(OC(=C1)[N+](=O)[O-])C2=NN=C(S2)N
6438354,CC(=O)N(C/C=C/C1=CC(=CC=C1)OC2=CC=CC=C2)O
6184351,C1=C(OC(=C1)[N+](=O)[O-])/C=N\NC(=O)C2=C(C(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-])O
38052,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)N
22469,CC(=O)N(C1=CC2=C(C=C1)C3=CC=CC=C3C2)OC(=O)C
220188,C1=CC=C2C(=C1)C(=O)N(C(=O)N2)O
29337,CC(=O)N(CCCC1C(=O)NC(C(=O)N1)CCCN(C(=O)C)O)O
1839,C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N
4996,C1=CC(=CN=C1)NC(=O)CCCCCCC(=O)NO
5186,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCCCC(=O)NO
