Code,Average IC50,Bioactivity,SMILES,INCHI-KEY
2556179,19960,inactive,C[C@H](/C=C(\C)/C=C/C(Nc(cc1)ccc1C(N[C@@H](CCC(N)=O)C(O)=O)=O)=O)C(c(cc1)ccc1N(C)C)=O,NJWZJCSAKCOJKC-NIXOSACBSA-N
11501,60.02033333,active,C[C@H](/C=C(\C)/C=C/C(NO)=O)C(c(cc1)ccc1N(C)C)=O,RTKIYFITIVXBLE-QEQCGCAPSA-N
84079,12187,inactive,C[C@H](/C=C/C=C/C(NO)=O)NC(c(cc1)ccc1N(C)C)=O,WKNOENNYEQISRB-FRKDHNBESA-N
321925,30,active,C[C@H](C(N[C@@H](C)C(N(CCC1)[C@H]1C(N[C@H]1CCCCCC([C@H]2OC2)=O)=O)=O)=O)NC1=O,WJKBTCSWQYZOOK-HNLJFRNMSA-N
1159740,3.3,active,C[C@H](C(N[C@H](CSSCC/C=C/[C@H](C1)OC(C[C@@H]([C@@H](C(C)=C)N2)O)=O)C2=O)=O)NC1=O,YDUPENLJIUUIOU-HDXRNPEWSA-N
84154,359,inactive,C[C@H](CCCCC(NO)=O)NC(c(cc1)ccc1N(C)C)=O,ABBWCFACKARTLD-GFCCVEGCSA-N
2062234,3200,inactive,C[n](c(C(NCCCCCCS)=O)c1)nc1-c(cc1)ccc1F,HTZQTRGRGUVZBJ-UHFFFAOYSA-N
2055758,3160,inactive,C[n](c(cccc1)c1c1c2)c1c(-c(cc1)ccc1OC)nc2NC(NCC(NO)=O)=O,MXLQEDWYLGCLPJ-UHFFFAOYSA-N
2055759,1330,inactive,C[n](c(cccc1)c1c1c2)c1c(-c(cc1)ccc1OC)nc2NC(NCCC(NO)=O)=O,DHQBCPWHPJKLIF-UHFFFAOYSA-N
2055760,510,inactive,C[n](c(cccc1)c1c1c2)c1c(-c(cc1)ccc1OC)nc2NC(NCCCC(NO)=O)=O,AYZYYWKVKCHUAH-UHFFFAOYSA-N
2055761,860,inactive,C[n](c(cccc1)c1c1c2)c1c(-c(cc1)ccc1OC)nc2NC(NCCCCC(NO)=O)=O,NIPJXADMMLWGAW-UHFFFAOYSA-N
2055762,1050,inactive,C[n](c(cccc1)c1c1c2)c1c(-c(cc1)ccc1OC)nc2NC(NCCCCCC(NO)=O)=O,VLOSPRVABOLZEX-UHFFFAOYSA-N
363668,6,active,C[n](c(CNCC[n](cc1)nc1-c1ccc(C(NO)=O)[s]1)c1)c2c1cccc2,BGHUSACOCUEUMQ-UHFFFAOYSA-N
246834,23000,inactive,C[n]1c(/C=C/C(N)=N)cc(C(c2ccccc2)=O)c1,HZCBUMARLOREMS-BQYQJAHWSA-N
11559,1000,inactive,C[n]1c(/C=C/C(NO)=O)cc(C(/C=C/c2ccccc2)=O)c1,QXMYMOLEKLSCOU-FIFLTTCUSA-N
101238,3900,inactive,C[n]1c(/C=C/C(NO)=O)cc(C(c(cc2)ccc2[N+]([O-])=O)=O)c1,NBQBQLCEBJBVHX-VOTSOKGWSA-N
101199,2400,inactive,C[n]1c(/C=C/C(NO)=O)cc(C(c(cc2)ccc2Cl)=O)c1,CMHCBVUOMXLSGS-VOTSOKGWSA-N
101235,3800,inactive,C[n]1c(/C=C/C(NO)=O)cc(C(c(cc2)ccc2F)=O)c1,USLLFRDCVGESHH-VOTSOKGWSA-N
100596,2900,inactive,C[n]1c(/C=C/C(NO)=O)cc(C(c(cc2)ccc2OC)=O)c1,GEQSBHYEKRTCHD-VMPITWQZSA-N
11568,3800,inactive,C[n]1c(/C=C/C(NO)=O)cc(C(c2ccccc2)=O)c1,BUPFBXCQRDPWSF-BQYQJAHWSA-N
11567,100,active,C[n]1c(/C=C/C(NO)=O)cc(C(Cc2ccccc2)=O)c1,UFQOXIMRSMFQRI-BQYQJAHWSA-N
246868,70000,inactive,C[n]1c(/C=C/C#N)cc(C(c2ccccc2)=O)c1,FEVZDUNZCDYCDP-VMPITWQZSA-N
246526,104000,inactive,C[n]1c(C=C(C(NC(N2)=O)=O)C2=O)cc(C(Cc2ccccc2)=O)c1,LIPZQVAZIUPUMM-UHFFFAOYSA-N
246803,85000,inactive,C[n]1c(C=C(C(NC(N2)=S)=O)C2=O)cc(C(Cc2ccccc2)=O)c1,HGUUTENFNRWSGR-UHFFFAOYSA-N
11450,36800,inactive,C[n]1c(CCC(NO)=O)cc(C(c2ccccc2)=O)c1,HVWJGMCMKAILER-UHFFFAOYSA-N
2564726,85,active,C[n]1c(cccc2)c2c(-c2ccnc(Nc(ccc(NC(CCCCCCCCCCC(NO)=O)=O)c3)c3OC)n2)c1,LJSLKPUUEAZXGK-UHFFFAOYSA-N
